DateTime,AddedIPs,RemovedIPs
1597631290,143,197
1597634184,332,627
1597636118,122,96
1597638009,132,84
1597639929,119,78
1597641880,135,62
1597643786,98,74
1597645687,122,637
1597648572,189,1032
1597650516,126,64
1597652409,149,72
1597654330,118,105
1597656287,139,176
1597658168,98,107
1597660093,116,174
1597662968,174,185
1597664916,485,133
1597666830,639,127
1597668733,406,99
1597670682,122,102
1597672567,93,491
1597674490,90,237
1597677368,142,201
1597679426,105,137
1597681477,87,106
1597683380,213,100
1597685286,152,93
1597687252,162,124
1597689145,139,112
1597691058,174,103
1597692996,104,128
1597694887,340,101
1597696824,87,345
1597698759,202,136
1597700653,116,149
1597702577,88,226
1597704548,112,99
1597706431,143,132
1597708326,89,144
1597710281,118,159
1597712171,298,102
1597714098,415,154
1597716034,380,139
1597717931,244,180
1597719879,97,339
1597721768,99,176
1597723689,92,125
1597725636,100,122
1597727535,89,151
1597729454,78,131
1597731394,100,142
1597733302,621,125
1597735208,113,131
1597737157,123,144
1597739053,84,133
1597740975,87,133
1597742925,110,150
1597745793,814,177
1597747688,1250,109
1597749625,462,113
1597751553,240,106
1597753450,402,124
1597755394,104,105
1597757289,106,111
1597759221,99,100
1597761127,112,86
1597763053,102,96
1597764994,124,91
1597766898,98,77
1597768808,129,74
1597770756,127,249
1597772653,105,154
1597774815,121,122
1597776732,115,197
1597778676,93,95
1597780574,108,85
1597782487,105,360
1597784447,351,153
1597786331,985,116
1597788259,1114,80
1597790219,1123,82
1597792102,281,183
1597794009,94,427
1597795958,72,447
1597797852,108,697
1597799780,94,381
1597801721,125,410
1597803622,127,226
1597805533,97,174
1597807475,91,105
1597809365,166,78
1597811293,115,88
1597813247,84,80
1597815126,111,76
1597817055,87,78
1597818994,103,99
1597820892,89,93
1597822808,99,115
1597824756,74,77
1597826650,358,76
1597828812,115,105
1597830749,91,147
1597832701,106,627
1597834580,71,80
1597836488,88,98
1597838451,108,112
1597840341,105,617
1597842250,332,97
1597844198,110,94
1597846096,101,86
1597848248,119,107
1597850170,89,90
1597852117,88,106
1597854011,107,109
1597855928,92,91
1597857877,84,88
1597859766,114,79
1597861929,121,100
1597863859,113,86
1597865795,125,93
1597867713,104,75
1597869631,110,97
1597872164,141,137
1597874199,108,79
1597876091,94,74
1597878966,132,122
1597881133,128,124
1597883052,100,86
1597884993,88,100
1597886907,92,89
1597888831,87,111
1597890759,93,157
1597892655,81,83
1597894572,93,126
1597896517,84,129
1597898419,69,108
1597900327,68,93
1597902281,88,114
1597904173,420,94
1597906093,443,128
1597908038,598,118
1597909933,599,125
1597911851,483,512
1597913797,230,1071
1597915747,138,93
1597917651,84,90
1597919571,83,92
1597921668,97,80
1597923611,84,107
1597925531,90,100
1597927494,152,124
1597929394,218,334
1597931288,99,86
1597933234,91,96
1597935132,80,100
1597937050,106,90
1597938996,100,82
1597941120,102,95
1597943056,104,89
1597944998,119,88
1597946887,98,98
1597948807,106,100
1597950756,82,93
1597952648,107,946
1597954569,92,1000
1597956503,239,1296
1597958446,154,813
1597960336,154,429
1597962249,110,350
1597964196,109,294
1597966087,109,120
1597968028,116,111
1597969958,87,106
1597971876,75,112
1597973799,112,113
1597975707,121,107
1597977611,99,90
1597979558,124,95
1597981447,111,99
1597983622,177,112
1597985552,248,105
1597987478,178,90
1597989367,140,258
1597991287,287,445
1597994171,382,792
1597996119,1006,969
1597998007,447,823
1597999942,113,436
1598001875,378,95
1598003817,383,113
1598005999,105,111
1598007928,110,98
1598009794,102,86
1598011691,88,89
1598013611,91,134
1598015560,93,272
1598017449,105,91
1598019367,108,104
1598021314,77,180
1598023215,108,121
1598025130,267,100
1598027079,112,101
1598028966,115,107
1598030917,95,137
1598032836,268,120
1598034729,303,113
1598036697,490,148
1598038569,764,133
1598040736,362,93
1598042651,75,212
1598044595,100,169
1598046490,92,173
1598048411,104,99
1598050357,162,102
1598052250,441,102
1598054201,780,114
1598056088,937,71
1598058965,2015,118
1598060885,576,99
1598062841,94,101
1598064730,108,117
1598066646,422,104
1598068594,547,112
1598070498,397,133
1598072426,342,203
1598074332,184,102
1598076493,89,180
1598078413,100,225
1598080356,225,174
1598082251,92,263
1598084166,108,265
1598086115,237,844
1598088007,122,348
1598089942,103,327
1598091877,202,112
1598093765,227,90
1598095687,81,87
1598097650,145,66
1598099536,113,88
1598101455,76,90
1598103395,81,92
1598105291,85,95
1598107210,85,71
1598109158,64,99
1598111048,63,154
1598112966,79,157
1598114913,90,103
1598116807,76,81
1598118727,84,97
1598120679,104,350
1598122567,330,198
1598124486,196,488
1598127367,172,429
1598129315,68,71
1598131221,109,82
1598133126,63,105
1598135079,112,102
1598136972,202,105
1598138886,521,449
1598140867,395,853
1598142746,214,1119
1598144649,101,1375
1598146596,84,852
1598148493,114,117
1598150411,103,105
1598152356,74,153
1598154266,99,746
1598156407,90,350
1598158346,80,374
1598160275,90,411
1598162169,80,93
1598164085,75,85
1598166970,588,328
1598168916,80,127
1598170806,831,114
1598172726,586,236
1598174674,78,137
1598176568,68,115
1598178508,92,232
1598181370,111,285
1598183321,159,126
1598185213,726,151
1598187129,711,112
1598189081,1390,76
1598190966,1239,92
1598193134,1129,101
1598195060,1146,75
1598196995,1126,51
1598198894,82,76
1598200808,83,83
1598202892,109,118
1598204918,127,85
1598206807,212,103
1598208755,376,201
1598210687,341,100
1598212569,757,125
1598214731,577,71
1598216653,504,82
1598218613,745,89
1598220489,329,92
1598222411,504,86
1598224362,249,104
1598226253,70,66
1598228173,384,156
1598230119,844,85
1598232008,339,66
1598233944,127,101
1598235878,81,89
1598237772,71,76
1598239931,78,92
1598241852,65,68
1598243817,79,60
1598245691,92,80
1598247618,85,67
1598249567,85,59
1598251449,94,344
1598253371,77,73
1598255320,87,64
1598257207,115,782
1598259129,88,410
1598261078,82,62
1598262967,1258,67
1598265133,1445,82
1598267057,1109,69
1598269023,1407,72
1598270892,1058,420
1598272820,90,720
1598274759,153,694
1598276649,237,685
1598278578,121,615
1598280525,106,898
1598282487,100,1014
1598284336,416,427
1598286286,1172,76
1598288209,1511,89
1598290265,1117,96
1598292531,1276,146
1598294418,1469,221
1598296344,427,259
1598298285,122,468
1598300167,101,372
1598302090,78,366
1598304032,86,556
1598305927,72,418
1598307854,107,296
1598309801,371,402
1598311693,391,71
1598313654,388,98
1598315533,451,479
1598317451,611,662
1598319393,300,152
1598321297,257,375
1598323210,263,250
1598325163,173,92
1598327055,77,66
1598328969,107,71
1598330914,102,89
1598332808,136,82
1598334728,81,80
1598336679,70,110
1598338583,71,70
1598340486,96,65
1598342446,91,81
1598344328,1794,95
1598346259,86,75
1598348223,79,87
1598350098,81,144
1598352010,78,120
1598353958,89,90
1598355876,79,233
1598357792,94,75
1598359719,72,145
1598361623,132,853
1598363594,85,1357
1598365486,100,1158
1598367390,78,1467
1598369294,69,1503
1598371259,100,1472
1598373135,86,1274
1598375304,344,1455
1598377233,2053,1400
1598379143,1847,1204
1598381083,2410,1480
1598383273,2343,429
1598385153,2237,91
1598387069,1936,78
1598388994,106,72
1598390893,101,81
1598392846,73,96
1598394729,83,112
1598396653,68,452
1598398595,98,384
1598400509,70,335
1598402410,88,578
1598404355,85,499
1598406250,73,290
1598408172,74,260
1598410116,99,321
1598412010,76,120
1598413927,85,98
1598415879,75,158
1598417771,73,80
1598419701,91,84
1598421634,74,103
1598423632,225,98
1598425456,64,87
1598427723,91,140
1598429554,80,1983
1598431462,74,86
1598433611,115,93
1598435800,101,107
1598437687,99,80
1598439625,91,108
1598441531,90,82
1598443451,99,75
1598445394,175,106
1598447289,253,79
1598449206,259,89
1598451159,341,66
1598453049,401,133
1598454966,455,89
1598456891,540,81
1598458840,292,99
1598460729,77,93
1598462935,80,1650
1598464830,94,2303
1598466976,117,2504
1598468920,84,2341
1598470811,86,2386
1598472730,104,2312
1598474682,95,696
