DateTime,Entries,UniqueIPs
1598128812,1945,1945
1598130760,1939,1939
1598132661,1936,1936
1598134572,1940,1940
1598136520,1944,1944
1598138409,1949,1949
1598140330,1943,1943
1598142278,1949,1949
1598144170,1970,1970
1598146087,1980,1980
1598149214,1992,1992
1598151133,1993,1993
1598153079,1993,1993
1598154967,2012,2012
1598156892,2009,2009
1598158886,2010,2010
1598161007,2012,2012
1598162890,2011,2011
1598164813,2001,2001
1598166757,2005,2005
1598168651,1991,1991
1598170572,1985,1985
1598172520,1988,1988
1598174408,1993,1993
1598176358,1971,1971
1598178277,1974,1974
1598180181,1960,1960
1598182089,1970,1970
1598185218,1943,1943
1598187133,1937,1937
1598189083,1942,1942
1598190969,1933,1933
1598193137,1938,1938
1598195084,1935,1935
1598197000,1952,1952
1598198898,1943,1943
1598200818,1929,1929
1598202897,1932,1932
1598204922,1927,1927
1598206811,1930,1930
1598208770,1862,1862
1598210691,1848,1848
1598212573,1815,1815
1598214735,1820,1820
1598216660,1811,1811
1598218664,1806,1806
1598220503,1776,1776
1598222415,1768,1768
1598224365,1751,1751
1598226257,1722,1722
1598228177,1707,1707
1598230125,1692,1692
1598232012,1684,1684
1598233951,1660,1660
1598235881,1646,1646
1598237776,1655,1655
1598239945,1635,1635
1598241869,1617,1617
1598243821,1614,1614
1598245695,1612,1612
1598247626,1613,1613
1598249571,1636,1636
1598251452,1657,1657
1598253375,1649,1649
1598255325,1652,1652
1598257211,1659,1659
1598259133,1654,1654
1598261082,1668,1668
1598262971,1691,1691
1598265139,1681,1681
1598267090,1690,1690
1598269039,1686,1686
1598270898,1688,1688
1598272826,1687,1687
1598274764,1677,1677
1598276655,1673,1673
1598278591,1667,1667
1598280564,1667,1667
1598282494,1658,1658
1598284341,1645,1645
1598286292,1645,1645
1598288216,1637,1637
1598290271,1627,1627
1598292118,1615,1615
1598293974,1613,1613
1598295877,1608,1608
1598297792,1625,1625
1598299716,1646,1646
1598301627,1643,1643
1598303536,1644,1644
1598305478,1632,1632
1598307370,1636,1636
1598309299,1647,1647
1598311240,1653,1653
1598313267,1657,1657
1598315135,1666,1666
1598316993,1678,1678
1598318894,1678,1678
1598321004,1680,1680
1598322996,1669,1669
1598325167,1674,1674
1598327071,1666,1666
1598328973,1652,1652
1598330919,1658,1658
1598332813,1659,1659
1598334732,1649,1649
1598336684,1595,1595
1598338618,1598,1598
1598340491,1607,1607
1598342581,1602,1602
1598344606,1598,1598
1598346490,1593,1593
1598348411,1585,1585
1598350356,1556,1556
1598352252,1550,1550
1598354169,1555,1555
1598356143,1567,1567
1598358012,1566,1566
1598359933,1565,1565
1598361892,1556,1556
1598364165,1576,1576
1598366208,1573,1573
1598368096,1583,1583
1598370008,1580,1580
1598371974,1594,1594
1598373879,1612,1612
1598375819,1617,1617
1598377966,1606,1606
1598379852,1620,1620
1598381798,1609,1609
1598383723,1620,1620
1598385744,1610,1610
1598387565,1597,1597
1598389474,1613,1613
1598391400,1621,1621
1598393570,1600,1600
1598395461,1597,1597
1598397378,1589,1589
1598399319,1594,1594
1598401223,1597,1597
1598403130,1596,1596
1598405106,1595,1595
1598406995,1592,1592
1598408909,1591,1591
1598410898,1601,1601
1598412752,1604,1604
1598414907,1591,1591
1598416844,1594,1594
1598418766,1610,1610
1598420676,1612,1612
1598422607,1612,1612
1598424516,1611,1611
1598426414,1607,1607
1598428351,1624,1624
1598430300,1614,1614
1598432193,1615,1615
1598434113,1627,1627
1598436125,1634,1634
1598437971,1635,1635
1598439944,1622,1622
1598441810,1628,1628
1598443700,1625,1625
1598445661,1633,1633
1598447573,1626,1626
1598449453,1633,1633
1598451373,1634,1634
1598453433,1631,1631
1598455779,1626,1626
1598457807,1625,1625
1598459771,1627,1627
1598461764,1612,1612
1598464011,1619,1619
1598466022,1613,1613
1598468207,1620,1620
1598470090,1618,1618
1598472091,1609,1609
1598473989,1608,1608
1598475853,1594,1594
1598477769,1588,1588
1598479729,1592,1592
1598481693,1591,1591
