DateTime,Entries,UniqueIPs
1598148045,6465,6757
1598149929,6473,6765
1598151851,6466,6758
1598153792,6460,6753
1598155691,6455,6749
1598157609,6467,6762
1598159584,6464,6759
1598161451,6478,6774
1598165314,6480,6776
1598167207,6482,6778
1598169127,6477,6773
1598171074,6494,6790
1598172966,6504,6800
1598174918,6487,6781
1598176860,6498,6792
1598178727,6512,6806
1598182592,6496,6790
1598184770,6500,6794
1598186655,6508,6802
1598188572,6508,6802
1598190517,6505,6799
1598192405,6496,6791
1598194328,6481,6777
1598196288,6463,6759
1598198193,6451,6747
1598200335,6440,6734
1598202257,6428,6721
1598204226,6418,6711
1598206141,6411,6706
1598208008,6403,6697
1598209954,6405,6699
1598211852,6404,6697
1598213769,6398,6690
1598217605,6377,6668
1598219768,6374,6665
1598221928,6369,6659
1598223849,6381,6672
1598225798,6377,6669
1598227705,6377,6670
1598231561,6375,6669
1598233447,6369,6664
1598235375,6366,6660
1598237315,6368,6659
1598239206,6365,6656
1598243073,6338,6630
1598244968,6327,6619
1598246885,6323,6616
1598248843,6327,6620
1598251715,6325,6618
1598255526,6319,6613
1598257473,6319,6614
1598259366,6324,6619
1598261284,6326,6621
1598263250,6324,6619
1598265130,6327,6622
1598267049,6332,6629
1598268992,6341,6642
1598272810,6324,6624
1598276646,6324,6620
1598278571,6308,6603
1598280515,6295,6588
1598282467,6272,6566
1598284332,6274,6568
1598286281,6270,6565
1598288193,6257,6554
1598290134,6242,6539
1598292051,6266,6562
1598293968,6283,6578
1598295868,6306,6600
1598297784,6308,6602
1598299712,6312,6607
1598301613,6323,6618
1598303530,6334,6624
1598307365,6310,6601
1598309289,6320,6611
1598311231,6322,6614
1598313133,6353,6645
1598315074,6377,6669
1598316970,6407,6699
1598318885,6419,6712
1598320840,6425,6718
1598322728,6450,6743
1598324653,6455,6748
1598326671,6457,6750
1598328520,6450,6741
1598330407,6443,6738
1598332358,6438,6734
1598334248,6455,6751
1598336169,6454,6751
1598338111,6455,6751
1598340023,6461,6757
1598341928,6472,6768
1598345766,6466,6759
1598347712,6479,6772
1598349674,6493,6786
1598351539,6493,6786
1598355394,6495,6786
1598357559,6501,6790
1598359447,6519,6808
1598361366,6523,6812
1598363586,6528,6817
1598365483,6529,6818
1598367385,6520,6809
1598369291,6496,6784
1598371244,6507,6795
1598373129,6537,6824
1598375295,6537,6822
1598377230,6536,6824
1598379139,6531,6819
1598381077,6534,6822
1598383267,6566,6856
1598385150,6587,6878
1598387066,6592,6882
1598388990,6605,6895
1598390888,6601,6891
1598392841,6608,6897
1598394723,6608,6898
1598398592,6584,6870
1598400502,6598,6884
1598402405,6602,6886
1598404351,6617,6899
1598408168,6602,6883
1598410113,6610,6890
1598412004,6617,6895
1598413924,6627,6905
1598415852,6642,6921
1598417768,6655,6936
1598419698,6661,6942
1598421618,6660,6941
1598424511,6646,6927
1598426409,6627,6905
1598428344,6622,6900
1598430293,6618,6896
1598432185,6606,6883
1598434107,6605,6882
1598436035,6624,6901
1598437958,6618,6893
1598439938,6622,6898
1598441803,6619,6893
1598443694,6618,6893
1598445620,6616,6892
1598447565,6624,6900
1598449446,6634,6910
1598451366,6646,6920
1598453424,6632,6900
1598455747,6621,6888
1598457619,6613,6880
1598459556,6614,6881
1598461753,6608,6876
1598463973,6599,6868
1598465801,6579,6847
1598467708,6566,6834
1598469651,6566,6831
1598471537,6561,6827
1598473467,6558,6824
1598475415,6544,6810
1598477330,6539,6805
1598479221,6541,6805
1598481300,6538,6802
1598483341,6555,6818
1598485238,6560,6823
1598487144,6556,6819
1598490045,6548,6812
1598492970,6525,6789
1598494918,6526,6790
1598496758,6517,6781
1598498670,6514,6777
1598500635,6508,6772
1598502565,6512,6775
1598504505,6508,6772
1598508265,6481,6745
1598511150,6480,6744
1598513078,6481,6742
1598515968,6492,6753
1598523847,6442,6702
1598525808,6444,6704
1598529688,6426,6684
1598531550,6421,6679
1598534419,6396,6651
1598536366,6406,6661
1598538326,6398,6653
1598541192,6404,6659
1598543062,6408,6665
1598545992,6411,6669
1598547894,6427,6685
1598550792,6428,6686
1598552664,6422,6680
1598554628,6411,6668
1598556535,6404,6661
1598558440,6400,6657
1598561321,6369,6623
1598564204,6367,6621
1598566161,6356,6608
1598568023,6356,6607
1598570912,6346,6595
1598572833,6332,6581
1598574772,6313,6562
1598576700,6312,6561
1598578610,6309,6559
1598580546,6310,6560
1598583433,6300,6550
1598585312,6291,6544
1598588495,6282,6532
1598590606,6277,6526
1598592501,6271,6518
1598594434,6282,6529
1598598261,6263,6511
1598600188,6261,6508
1598603071,6230,6478
1598605030,6233,6481
1598608854,6197,6446
